Hospital,Tender Reference,Subject,Tendering Procedure,Contractor(s) & Address(es),Item,Contract Period,Estimated Contract Amount,Date of Award
New Territories East Cluster,NTEC/P&MM/T5B/CBV2425-20059-T002,"Supply and Installation of Spectrometers, Mass and Related  Consumables for Prince of Wales Hospital, New Territories East Cluster, Hospital Authority",Open,"Waters China Limited  Rm A128, 16/F, Tower 5, The Gateway, Harbour City, Kowloon, Hong Kong",-,15 October 2024  - 14 October 2034,HKD3.66Mn,15-October-2024
Kowloon West Cluster,KWC/P/046-24,"Supply and Installation of Spectrometers, Mass for Princess  Margaret Hospital, Kowloon West Cluster, Hospital Authority",Open,"WATERS CHINA LTD  ROOM A128, 16/F, TOWER 5,  THE GATEWAY, HARBOUR CITY, TST, KLN",-,16 October 2024 to 15 October 2025,HKD1.80Mn,16-October-2024
Kowloon West Cluster,KWC/M/032-24,"Provision of Tenancy of Off-site Store for Caritas Medical  Centre, Kowloon West Cluster, Hospital Authority",Open,"Rockwell (Group) Limited  3/F, Hopewell Logistics Centre, 2-12 Wing Kei Road, Kwai Chung, NT",-,15 December 2024  - 14 December 2026,HKD3.15Mn,16-October-2024
Hong Kong East Cluster,1110533905,"Supply and Installation of Scanning Systems, Computed  Tomography, Spiral for Pamela Youde Nethersole Eastern Hospital, Hong Kong  East Cluster, Hospital Authority",Open,"Siemens Healthcare Limited  Units 901 - 902 & 908B, 9/F, Tower B, Manulife Financial Centre,  223-231 Wai Yip Street, Kwun Tong, Kowloon, Hong Kong",-,i) Equipment: Commencing on 17 October 2024 and expire upon  satisfactory fulfilment of the contract obligations  ii) Maintenance: 9 years from the mutually agreed date,i) HKD12.98Mn  ii) HKD8.43Mn,17-October-2024
Kowloon East Cluster,KEC/ADM/CONF/P&S/04/003/2324,"Replacement of Calorifiers of United Christian Hospital, Kowloon  East Cluster, Hospital Authority",Open,"Tai Ah Engineering Company Limited  11/F, Evernew Commerical Centre, 33-35 Pine Street,  Tai Kok Tsui, Kowloon, Hong Kong",-,20 September 2024 - 19 September 2026,HKD5.01Mn,20-September-2024
Kowloon West Cluster,KWC/A/044-24,"Provision of Collection and Delivery Services of Clinical  Specimens for General Out-patient Clinics, Kowloon West Cluster, Hospital  Authority",Open,"Lison Transportation Company Limited  Room 1905, Westley Square,  48 Hoi Yuen Road,  Kwun Tong, Kowloon",-,3 January 2025  - 2 January 2028,HKD1.45Mn,21-October-2024
Kowloon Central Cluster,KCC/QB/A6/075/24/WTS,"Provision of Canteen Service for TWGHs Wong Tai Sin Hospital,  Kowloon Central Cluster, Hospital Authority",Open,"Hong Kong Rehabilitation A & E Association Limited  G/F, No. B3, Cronin Garden, 188 Pratas Street, Sham Shui Po, Kowloon",-,1 January 2025 - 31 December 2029,HKD0.18Mn,21-October-2024
Kowloon Central Cluster,KCC/T/H15/069/23/KC,"Provision of Consultancy and Project Management Service for  Transition and Activation for New Acute Hospital, Kowloon Central Cluster,  Hospital Authority",Open,"Ove Arup & Partners Hong Kong Ltd  Level 5, Festival Walk 80 Tat Chee Avenue  Kowloon Tong, Kowloon  Hong Kong",-,With effect from the date of Letter of Acceptance to fulfillment  of contractual obligation,HKD15.00Mn,21-October-2024
Hospital Authority Head Office,HAHO(S)/T/23-S037,Provision of Printing and Mail Packing Service for  Clinical Programmes of Hospital Authority,Open,"Chi Tak Printing Company, Limited  Flat A/D, 9/F, Derrick Industrial Building, 49 Wong Chuk Hang Road, Hong  Kong",-,1 April 2025  - 31 March 2027,HKD2.15Mn,21-October-2024
Kowloon East Cluster,KEC/ADM/CONF/PFPE/13/001/2425,"Supply and Installation of Radiotherapy Simulation Systems,  Computed Tomography-Based for Expansion of United Christian Hospital, Kowloon  East Cluster, Hospital Authority",Open,"Philips Electronics Hong Kong Limited  Level 19, Tower I, Grand Century Place, 193 Prince Edward Road West,  Mongkok, Kowloon, Hong Kong",-,"(i) Equipment: With  effect from the date of contract award until fulfillment of the contractual  obligations  (ii) Post-Warranty Maintenance Service: 1 year, commencing from the expiry  of warranty period.",HKD12.60Mn,22-October-2024
Kowloon Central Cluster,KCC/T/H11/112/23/KC,"Supply and Installation of Scanning Systems, Ultrasonic,  Intravascular for Queen Elizabeth Hospital, Kowloon Central Cluster and  Princess Margaret Hospital, Kowloon West Cluster, Hospital Authority",Open,"Kerry Medical Limited  16/F, Kerry Cargo Centre,  55 Wing Kei Road,  Kwai Chung, Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD2.65Mn,22-October-2024
Kowloon East Cluster,KEC/ADM/CONF/PFPE/13/005/2425,"Supply and Installation of Chair, Dental, Operating and Suction  System, Dental for Expansion of United Christian Hospital, Kowloon East  Cluster, Hospital Authority",Open,"Getz Healthcare Dental Limited  23/F, 8 Commercial Tower, 8 Sun Yip Street, Chai Wan, Hong Kong",-,With effect from the  date of contract award until fulfillment of the contractual obligations,HKD7.00Mn,22-October-2024
Hong Kong West Cluster,HKWC-T039/22(P-GH),"Supply and Installation of Lights, Surgical for Redevelopment of  Grantham Hospital (Phase 1)",Open,"Prime Priority Technology Ltd Unit 2, 3/F Yen Sheng Centre, 64 Hoi Yuen Road, Kwun Tong, Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD2.48Mn,22-October-2024
Hong Kong West Cluster,HKWC-T035/22(P-GH),Supply and Installation of Isolator and Biological Safety  Cabinet for Redevelopment of Grantham Hospital (Phase 1),Open,"Techcomp Ltd 2606, Tower 1, Ever Gain Plaza,  88 Container Port Road, Kwai Chung, N.T., HK",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD2.94Mn,22-October-2024
Hospital Authority Head Office,HAHO(S)/T/23-G043,Supply and Installation of Hemodialysis Units for Hospital  Authority for Hospital Authority,Open,"Vantive Healthcare Limited  Suites 2701-2 Oxford House,  Taikoo Place, 979 King’s Road,  Island East, Hong Kong",-,23 October 2024 - 22 October 2026,-,23-October-2024
Hospital Authority Head Office,HAHO(S)/T/23-G043,Supply and Installation of Hemodialysis Units for Hospital  Authority for Hospital Authority,Open,"Fresenius Medical Care Hong Kong Limited  15/F, 88 Gloucester Road,  Wan Chai, Hong Kong",-,23 October 2024 - 22 October 2026,-,23-October-2024
Kowloon Central Cluster,KCC/T/H5/121/23/KH,"Supply and Installation of Monitors, Physiologic, Central  Station for Kowloon Hospital, Kowloon Central Cluster, Hospital Authority",Open,"Medisource Supply (Asia) Co., Ltd  Unit 1-4, 32/F, New Trend Centre, 104 King Fuk Street, San Po Kong,  Kowloon, Hong Kong",-,with effect from the date of Letter of Acceptance to the  fulfillment of contractual obligations,HKD2.58Mn,23-October-2024
Kowloon Central Cluster,KCC/T/72/011/23/HCH,"Supply and Installation of Radiographic Units, Mobile for Hong  Kong Children’s Hospital, Kowloon Central Cluster, Hospital Authority",Open,"Fujifilm Hong Kong Limited  10/F Remington Centre, 23 Hung To Road, Kwun Tong, Kowloon, Hong Kong",-,With effect from the date of Letter of Acceptance to fulfillment  of contractual obligations,HKD1.72Mn,23-October-2024
Kowloon Central Cluster,KCC/T/H7/004/24/KWH,"Supply and Installation of Tables, Operating for Kwong Wah  Hospital, Kowloon Central Cluster, Hospital Authority",Open,"DCH Auriga (Hong Kong) Limited-Healthcare Division  11/F, Wyler Centre 1,  202-210 Tai Lin Pai Road,  Kwai Chung, NT",-,With effect from the  date of Letter of Acceptance to fulfilment of contract obligations,HKD2.99Mn,23-October-2024
Kowloon Central Cluster,KCC/T/H5/138/23/QE,"Supply and Installation of Information Systems, Data Management,  Cardiology [Cardiovascular Information System (CVIS)] for Queen Elizabeth  Hospital, Kowloon Central Cluster, Hospital Authority",Open,"Philips Electronics Hong Kong Limited  Level 19, Tower 1, Grand Century Place, 193 Prince Edward Road West, Mong  Kok, Kowloon, Hong Kong",-,with effect from the date of Letter of Acceptance to the  fulfillment of contractual obligations,HKD2.47Mn,23-October-2024
Kowloon Central Cluster,KCC/T/H10/118/23/KWH,"Supply and Installation of Exercisers, Computer-Aided Training,  Gait and Provision of Maintenance Services for Kwong Wah Hospital, Kowloon  Central Cluster, Hospital Authority",Open,"Healthlink Holdings Limited  Unit 05 - 06, 23/F., Laurels Industrial Centre, 32 Tai Yau Street, San Po  Kong, Kowloon, Hong Kong",-,With effect from the date of Letter of Acceptance to fulfilment  of contract obligations,HKD4.43Mn,23-October-2024
Kowloon Central Cluster,KCC/T/H7/124/23/KC,"Supply and Installation of Microscopes, Light, Operating,  Ophthalmology for Kowloon Central Cluster, Hospital Authority",Open,"Newtech International Trading Limited  Unit 3, 19/F, One Portside,  29 Tai Yau Street,  San Po Kong, Kowloon",-,With effect from the date of Letter of Acceptance to fulfillment  of contractual obligation,HKD2.19Mn,23-October-2024
Kowloon Central Cluster,KCC/T/H7/127/23/QE,"Supply and Installation of Stereotactic Systems, Image-Guided,  Surgical for Queen Elizabeth Hospital, Kowloon Central Cluster, Hospital  Authority",Open,"Stryker China Limited 9/F, 12 Taikoo Wan Road,  Taikoo Shing, Hong Kong",-,With effect from the date of Letter of Acceptance to fulfillment  of contractual obligation,HKD3.00Mn,23-October-2024
Kowloon East Cluster,KEC/ADM/CONF/PFPE/13/004/2425,"Supply and Installation of Audio-Visual System for Department of  Psychiatry for Expansion of United Christian Hospital, Kowloon East Cluster,  Hospital Authority",Open,"Inspire Technology (Project) Limited  Flat/ RM 1703, 17/F, Richmond Commercial Building, 109 Argyle Street,  Mongkok, HK",-,With effect from the date of contract award until fulfilment of  the contractual obligations,HKD1.20Mn,24-October-2024
Hong Kong West Cluster,HKWC-T002/24(D1),"Supply and Installation of Heated Food Trolley for Tung Wah  Hospital, Hong Kong West Cluster, Hospital Authority",Open,"Elite Hospitality Care Limited  Flat B, 8/F, Joint Venture Factory Bldg., 76 Hung To Rd, Kwun Tong,  Kowloon, Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD3.43Mn,24-October-2024
Kowloon Central Cluster,KCC/T/H11/089/23/QE,"Supply and Installation of Microscopes, Light, Operating,  Neurosurgery for Queen Elizabeth Hospital, Kowloon Central Cluster, Hospital  Authority",Open,"S & V Samford Medical Limited Room 1606, 16/F, Kodak House II,  39 Healthy Street East,  North Point, Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD4.20Mn,24-October-2024
Kowloon Central Cluster,KCC/T/H6/103/23/BTS,"Supply and Installation of Centrifuges, Floor, Low-Speed,  Refrigerated for Hong Kong Red Cross Blood Transfusion Service, Kowloon  Central Cluster, Hospital Authority",Limited  (Absence of competition for technical reasons),"Thermo Fisher Scientific (Hong Kong) Limited  Unit 09-18, 13/F, Tower 1, Kowloon Commerce Centre, 51 Kwai Cheong Road,  Kwai Chung, Hong Kong",-,24/10/2024 - 23/10/2025,HKD3.19Mn,24-October-2024
Hong Kong West Cluster,HKWC-T012/23(D2),"Supply and Installation of Artificial Intelligence Ambassador  System for Queen Mary Hospital, Hong Kong West Cluster, Hospital Authority",Open,"Hong Kong Telecommunications (HKT) Limited  39/F., PCCW Tower  Taikoo Place,  979 King's Road  Quarry Bay",-,With effect from the date of Letter of Acceptance to fulfillment  of contractual obligations,HKD1.85Mn,24-October-2024
Kowloon Central Cluster,KCC/T/H4/075/23/KC,"Supply of Single  Collection Chest Drainage Bottle, Disposable for Kowloon Central  Cluster,  Hospital Authority",Open,"Legend Master Technology Limited  Unit 2103, 21/F, Kodak House II, 39 Healthy Street, North Point, Hong Kong",-,24 October 2024 - 23 October 2027,HKD3.69Mn,24-October-2024
Kowloon Central Cluster,KCC/T/H6/011/24/KWH,"Supply and Installation of Analyzers, Laboratory, Microbiology,  Susceptibility, Automated for Kwong Wah Hospital, Kowloon Central Cluster,  Hospital Authority",Open,"Biomerieux China Limited  Unit 1, 26/F, Tower 2, Enterprise Square 5, 38 Wang Chiu Road, Kowloon Bay,  Kowloon, Hong Kong",-,25 October 2024 - 24 October 2027,HKD2.09Mn,25-October-2024
Hospital Authority Head Office,HAHO(S)/T/23-S017,Tender for Hospital Authority Term Contract for Minor Works 2024  (HA-TMC-041) for Kowloon East Cluster,Selective,"Cheung Hing - Deson Joint Venture  Unit 6, 4/F & G/F, Liven House,  61-63 King Tip Street, Kwun Tong,  Kowloon",-,1 December 2024 - 30 November 2027,Total Weighted Percentage for Tender Analysis at +22.982%,28-October-2024
Hospital Authority Head Office,HAHO(S)/T/23-S018,Tender for Hospital Authority Term Contract for Minor Works 2024  (HA-TMC-042) for Kowloon Central Cluster,Selective,"Cheung Hing - Maylon Joint Venture  Unit 6, 4/F & G/F, Liven House,  61-63 King Tip Street, Kwun Tong,  Kowloon",-,1 December 2024 - 30 November 2027,Total Weighted Percentage for Tender Analysis at +27.313%,28-October-2024
Kowloon Central Cluster,KCC/T/21/018/22/HCH,"Supply and Delivery of Sterilization Containers (Container,  Instrument, Autoclavable) for Hong Kong Children's Hospital",Open,"Shun On Healthcare Limited  Suites 2204-2206, 22/F., AIA Kowloon Tower, Landmark East, 100 How Ming  Street, Kwun Tong, Kowloon, Hong Kong",-,28 October 2024  - 27 October 2026,HKD2.95Mn,28-October-2024
New Territories West Cluster,NWT00324,"Supply and Installation of Water Purification Systems, Reverse  Osmosis, Hemodialysis for Department of Medicine and Geriatrics of Tin Shui  Wai Hospital, New Territories West Cluster, Hospital Authority",Open,"Vantive Healthcare Limited  Unit 4, 1/F, Sun Cheong Ind Bldg, 1 Cheung Shun Street, Cheung Sha Wan,  Kowloon",-,29 October 2024 - 28 October 2025,HKD3.95Mn,29-October-2024
New Territories West Cluster,NWT01024,"Supply and Installation of Analyzers, Physiologic, Respiratory  Function Mechanics for Tuen Mun Hospital and Pok Oi Hospital of New  Territories West Cluster and United Christian Hospital of Kowloon East  Cluster, Hospital Authority",Open,"Alpha MedTech Limited  Room 14, 5/F, Block A, Hi-Tech Industrial Centre, 5-21 Pak Tin Par Street,  Tsuen Wan, New Territories, Hong Kong",-,29 October 2024 - 28 October 2026,HKD2.46Mn,29-October-2024
Hospital Authority Head Office,HAHO(S)/T/23-G042,Supply of Test Kit and Quality Control Materials for  Point-Of-Care Urine Pregnancy Test for Hospital Authority,Open,"Seekers BioMedical Limited Suite 103, Valley Centre,  80-82 Morrison Hill Road, Wanchai, Hong Kong",-,1 January 2025 - 31 December 2027,HKD2.38Mn,30-October-2024
Kowloon East Cluster,KEC/ADM/CONF/P&S/01/025/2324,"Supply and Installation of Scanning Systems, Ultrasonic, General-Purpose for  United Christian Hospital and Queen Mary Hospital, Kowloon East Cluster and Hong Kong West Cluster, Hospital Authority",Open,"Shun On Healthcare Limited  Suites 2204-2206, 22/F, AIA Kowloon Tower, Landmark East, 100 How Ming  Street, Kwun Tong, Kowloon, Hong Kong",-,"(i) Equipment: With effect from the date of contract award until  fulfilment of the contractual obligations  (ii) Post-Warranty Maintenance Service: 2 years, commencing from the expiry  of warranty period",HKD2.11Mn,30-October-2024
Kowloon East Cluster,KEC/ADM/CONF/P&S/01/032/2324,"Supply and Installation of Stereotactic Systems, Image-Guided,  Surgical for Tseung Kwan O Hospital, Kowloon East Cluster, Hospital Authority",Selective,"Stryker China Ltd  9th Floor, 12 Taikoo Wan Road, Taikoo Shing, Hong Kong",-,"(i) Equipment: With effect from the date of contract award until  fulfilment of the contractual obligations  (ii) Post-Warranty Maintenance Service: 9 years, commencing from the expiry  of warranty period",HKD2.91Mn,31-October-2024
New Territories West Cluster,NWT00824,"Supply and installation of Lasers, Ho-YAG, Surgical for  Department of Surgery of Tuen Mun Hospital, New Territories West Cluster,  Hospital Authority",Open,"Kerry Medical Limited  16/F  Kerry Cargo Centre  55 Wing Kei Rd., Kwai Chung  Hong Kong",-,31 October 2024 - 30 October 2025,HKD0.99Mn,31-October-2024
